tag,case,aiter_ms,vllm_ms,ratio
v4,dec bs=8 sk=8192,0.0431,0.4134,9.5829
v4,dec bs=16 sk=16384,0.0452,0.8198,18.1354
v4,dec bs=32 sk=8192,0.0485,0.4160,8.5743
v4,dec bs=64 sk=32768,0.1880,1.6446,8.7491
v4,dec bs=128 sk=8192,0.1172,0.4246,3.6238
v4,dec bs=256 sk=4096,0.1192,0.3215,2.6960
v4,dec bs=256 sk=8192,0.1886,0.6274,3.3268
v4,pre [2048],0.4411,1.7054,3.8659
v4,"pre [512, 512, 512, 512]",0.4420,1.8626,4.2142
v4,"pre [256, 256, 256, 256, 256, 256, 256, 256]",0.4445,1.8918,4.2560
v4,"pre [128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128, 128]",0.8911,1.9147,2.1487
v4,"pre [64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",0.9030,1.9445,2.1534
v4,pre [4096],0.6051,2.8448,4.7013
v4,pre [8192],0.7949,3.7735,4.7472
v4,mix pre=1x2048 dec=32,0.4958,1.7107,3.4504
v4,mix pre=1x4096 dec=64,0.6495,2.8883,4.4470
v4,mix pre=4x512 dec=64,0.6841,2.0406,2.9827
v4,mix pre=8x256 dec=128,0.7046,2.1098,2.9942
v4,mix pre=16x128 dec=256,1.1203,2.4156,2.1561
v4,mix pre=2x2048 dec=256,1.1437,3.7860,3.3104
v4,dec bs8 sk8k bf16,0.0379,0.3542,9.3446
v4,dec bs64 sk16k bf16,0.1701,0.7858,4.6198
v4,pre 2048 bf16,0.4164,1.0627,2.5521
v4,mix 128d+4p1k bf16,0.9390,2.2859,2.4344
v4,dec bs8 sk8k fp8kv,0.0399,0.4135,10.3597
v4,dec bs64 sk16k fp8kv,0.1175,0.8278,7.0456
v4,pre 2048 fp8kv,0.4410,1.7035,3.8630
v4,mix 128d+4p1k fp8kv,1.0170,3.7327,3.6704
v4,uniform 8k,0.1933,0.6275,3.2473
v4,uniform 16k,0.3431,1.2380,3.6083
v4,heavy-tail 128-64k,0.3638,3.8859,10.6810
v4,bimodal 1k/32k,0.2094,1.6679,7.9651
v4,one giant + rest 1k,0.1778,3.2548,18.3045
v4,gqa 16/1,0.1199,0.4248,3.5420
v4,gqa 16/2,0.1794,0.6346,3.5379
v4,gqa 16/4,0.3209,0.8450,2.6330
v4,gqa 16/8,0.5862,1.2168,2.0758
v4,gqa 32/8,0.5976,1.2273,2.0535
v4,gqa 64/8,0.6149,1.2487,2.0307
v4,ctx 1024,0.0430,0.0610,1.4175
v4,ctx 4096,0.0640,0.2144,3.3501
v4,ctx 8192,0.0796,0.4193,5.2685
v4,ctx 16384,0.1138,0.8277,7.2720
v4,ctx 32768,0.2000,1.6462,8.2294
v4,ctx 65536,0.3288,3.2790,9.9740
